class_id,course_code,professor,day,time
42140,CHE 201,Marc Brescia,Tues ,09:30
41766,CHE 202,Wendy Lindsey,Mon Thurs ,08:00
41767,CHE 202,Wendy Lindsey,Mon ,09:30
41783,CHE 202,Wendy Lindsey,Thurs ,09:30
41794,CHE 202,Grey Simpson,Mon Wed ,17:30
41795,CHE 202,Grey Simpson,Mon ,19:00
41796,CHE 202,Grey Simpson,Wed ,19:00
41768,CHE 202,Michelle Bunagan,Mon Thurs ,15:30
41769,CHE 202,Michelle Bunagan,Mon ,12:30
41777,CHE 202,Michelle Bunagan,Thurs ,12:30
41774,CHE 202,Jack Johnson,Tues Fri,11:00
41775,CHE 202,Jack Johnson,Tues ,14:00
41784,CHE 202,Mirela Manea Krichten,Fri,14:00
41780,CHE 202,Levi Ekanger,Tues Fri,09:30
41781,CHE 202,Levi Ekanger,Tues ,14:00
41782,CHE 202,Levi Ekanger,Fri,14:00
41808,CHE 310,Rebecca Hunter,Tues Fri,08:00
41809,CHE 310,Rebecca Hunter,Tues ,09:30
41810,CHE 310,Rebecca Hunter,Fri,09:30
41790,CHE 316,Danielle Guarracino,Wed ,10:00
41791,CHE 317,Donald Hirsh,Wed ,10:00
41763,CHE 331,Thuy Le,Mon Wed ,17:30
41792,CHE 331,Thuy Le,Mon ,19:00
41793,CHE 331,Thuy Le,Wed ,19:00
41755,CHE 332,Rebecca Triano,Mon Thurs ,11:00
41761,CHE 332,Rebecca Triano,Mon ,14:00
41776,CHE 332,Rebecca Triano,Thurs ,14:00
41778,CHE 332,George Theodoridis,Tues Thurs ,17:30
41779,CHE 332,George Theodoridis,Tues ,19:00
41804,CHE 332,George Theodoridis,Thurs ,19:00
42058,CHE 332,Heba Abourahma,Tues Fri,11:00
42059,CHE 332,Heba Abourahma,Tues ,14:00
41798,CHE 332,David Hunt,Mon Thurs ,08:00
41799,CHE 332,David Hunt,Mon ,09:30
41807,CHE 332,David Hunt,Thurs ,09:30
41786,CHE 350,Donna Bassolino,Tues Thurs ,17:30
42184,CHE 370,Michael Aucott,Tues Thurs ,17:30
41759,CHE 371,Joseph Baker,Mon Thurs ,12:30
41756,CHE 371,Joseph Baker,Mon ,14:00
41757,CHE 371,Joseph Baker,Thurs ,14:00
41760,CHE 430,Stephanie Sen,Tues Fri,09:30
41788,CHE 430,Stephanie Sen,Tues ,14:00
42170,CHE 474,Danielle Guarracino,Mon Thurs ,09:30
42171,CHE 474,Danielle Guarracino,Thurs ,12:30
41802,CHE 476,Abby O'Connor,Tues Fri,11:00
41803,CHE 476,Abby O'Connor,Tues ,14:00
41531,CIV 251,Manish Paliwal,Mon Thurs ,08:00
41537,CIV 251,Joseph Strafaci,Tues Thurs ,17:30
41542,CIV 251,Joseph Strafaci,Tues Thurs ,19:00
41545,CIV 343,Ahmed Youssefagha,Mon Wed ,17:30
41539,CIV 343,Ahmed Youssefagha,Mon Wed ,19:00
41532,CIV 351,Nabil Al-Omaishi,Mon Thurs ,09:30
42583,CIV 351,James Maccariella,Tues Thurs ,17:30
41533,CIV 351,Nabil Al-Omaishi,Wed ,09:00
42584,CIV 351,James Maccariella,Thurs ,19:00
42689,CIV 363,Kunal Patel,Mon ,17:00
42690,CIV 363,Kunal Patel,Wed ,17:00
41541,CIV 372,James Purcell,Mon Thurs ,08:00
42582,CIV 372,James Purcell,Tues Fri,08:00
42692,CIV 381,Kenneth Najjar,Thurs ,09:30
41534,CIV 385,Michael Horst,Tues Fri,11:00
42693,CIV 385,Michael Horst,Tues Fri,14:00
41538,CIV 385,Michael Horst,Wed ,10:00
42694,CIV 385,Michael Horst,Wed ,16:00
41535,CIV 431,Vedrana Krstic,Tues Fri,09:30
42701,CIV 431,Vedrana Krstic,Tues Fri,15:30
41536,CIV 431,Vedrana Krstic,Wed ,08:00
42702,CIV 431,Vedrana Krstic,Wed ,17:00
41540,CIV 444,Andrew Bechtel,Mon Thurs ,11:00
42704,CIV 444,Andrew Bechtel,Mon Thurs ,12:30
41543,CIV 471,J. Michael Wintermute,Tues Thurs ,19:00
41544,CIV 471,J. Michael Wintermute,Tues Thurs ,20:30
42708,CIV 496,Vedrana Krstic,Wed ,18:00
41813,CSC 215,Hajar Niroomand,Mon Wed ,17:30
41821,CSC 215,Brian Higgins,Tues Thurs ,19:00
41818,CSC 215,Shajina Anand,Tues Fri,09:30
41819,CSC 215,Shajina Anand,Tues Fri,11:00
41842,CSC 215,Hajar Niroomand,Mon Wed ,19:00
41814,CSC 220,Glenn Rhoads,Thurs ,11:00
41840,CSC 220,Mark Russo,Tues Thurs ,17:30
41815,CSC 230,Jikai Li,Tues Fri,11:00
41822,CSC 230,Sharif Mohammad Shahnewaz Ferdous,Mon ,11:00
41844,CSC 230,Sharif Mohammad Shahnewaz Ferdous,Mon Thurs ,15:30
41816,CSC 270,Andrea Salgian,Mon Thurs ,09:30
41845,CSC 270,Andrea Salgian,Mon ,12:30
41828,CSC 270,Glenn Rhoads,Tues Fri,11:00
41830,CSC 270,Glenn Rhoads,Tues Fri,15:30
41851,CSC 275,Ron Ammar,Mon ,17:30
41827,CSC 299,Deborah Knox,Mon ,11:00
41829,CSC 299,Deborah Knox,Mon ,14:00
42756,CSC 307,Michael Ochs,Mon Thurs ,14:00
41839,CSC 315,John Degood,Mon Thurs ,15:30
42901,CSC 315,John Degood,Mon Thurs ,14:00
41824,CSC 325,Deborah Knox,Mon Thurs ,09:30
41826,CSC 335,Dimitrios Papamichail,Tues Fri,15:30
41820,CSC 345,Sejong Yoon,Mon ,12:30
41841,CSC 345,John Degood,Tues Fri,11:00
42233,CSC 380,Sejong Yoon,Mon Thurs ,14:00
41817,CSC 415,Sarah Pulimood,Mon Thurs ,09:30
41847,CSC 415,Sarah Pulimood,Mon Thurs ,12:30
41823,CSC 445,Dimitrios Papamichail,Tues Fri,14:00
42234,CSC 450,Jikai Li,Tues ,09:30
41825,CSC 470,Michael Bloodgood,Tues Fri,15:30
40049,ECO 101,Jeremy Levine,Tues Fri,08:00
40050,ECO 101,Jeremy Levine,Tues Fri,11:00
40051,ECO 101,Jingxi Liu,Tues Fri,14:00
40052,ECO 101,Anthony O'Donnell,Mon Thurs ,17:30
40065,ECO 101,Jingxi Liu,Tues Fri,15:30
40069,ECO 101,Richard Baker,Mon Thurs ,09:30
40228,ECO 101,Jerry Cerf,Mon Thurs ,12:30
40053,ECO 102,Donald Vandegrift,Mon Thurs ,09:30
40054,ECO 102,Michael Elgawly,Tues Fri,08:00
40056,ECO 102,Matthew Greenblatt,Tues Fri,09:30
40066,ECO 102,Subarna Samanta,Mon Thurs ,12:30
40057,ECO 102,Subhadra Ganguli,Mon Thurs ,11:00
40058,ECO 102,Howard Nelson,Mon ,18:00
40068,ECO 102,Subhadra Ganguli,Mon Thurs ,09:30
40070,ECO 102,Manan Rawal,Thurs ,18:00
40219,ECO 102,Donka Brodersen,Tues Fri,11:00
40220,ECO 102,Howard Nelson,Tues ,18:00
40055,ECO 102,Michele Naples,Tues Fri,09:30
40072,ECO 120,Richard Baker,Mon Thurs ,11:00
40059,ECO 210,Michele Naples,Tues Fri,14:00
40061,ECO 231,Linghui Tang,Tues Fri,09:30
40062,ECO 231,Linghui Tang,Tues ,18:00
40221,ECO 231,Trevor O'Grady,Tues Fri,11:00
40063,ECO 301,Donald Vandegrift,Mon Thurs ,14:00
40218,ECO 320,Donka Brodersen,Tues Fri,13:30
40071,ECO 340,Subhadra Ganguli,Mon Thurs ,15:30
40067,ECO 350,Trevor O'Grady,Tues Fri,14:00
42085,ECO 495,Trevor O'Grady,Wed ,10:00
42086,ECO 495,Richard Baker,Wed ,10:00
42087,ECO 495,Matthew Greenblatt,Wed ,10:00
41552,ELC 251,Anthony Deese,Tues Fri,08:00
41561,ELC 251,Anthony Deese,Tues Fri,09:30
41549,ELC 321,Ambrose Adegbege,Mon Thurs ,12:30
41559,ELC 321,John Macdonald,Tues Thurs ,17:30
41562,ELC 321,George Holubec,Tues Thurs ,19:00
41550,ELC 333,Joseph Jesson,Mon ,14:00
41551,ELC 333,George Holubec,Thurs ,14:00
41553,ELC 361,Allen Katz,Tues Fri,11:00
41556,ELC 361,Allen Katz,Wed ,16:00
41554,ELC 373,Allen Katz,Tues ,14:00
41558,ELC 383,Orlando Hernandez,Mon ,14:00
41557,ELC 383,Orlando Hernandez,Mon ,15:25
41555,ELC 463,Orlando Hernandez,Mon ,17:00
42791,ELC 470,Wudyalew Wondmagegn,Tues Fri,09:30
42792,ELC 470,Wudyalew Wondmagegn,Tues Fri,09:00
42759,ELC 480,Larry Pearlstein,Tues Fri,09:30
42762,ELC 480,Larry Pearlstein,Tues Fri,09:00
42729,ELC 495,Allen Katz,Wed ,08:00
42730,ELC 496,Allen Katz,Wed ,08:00
41571,ENG 142,Xuefeng Wei,Mon Thurs ,09:30
41573,ENG 142,Seung-Yun Kim,Tues Fri,08:00
41585,ENG 142,Seung-Yun Kim,Tues Fri,11:00
41591,ENG 142,Martha Stella,Mon Thurs ,12:30
41572,ENG 142,Xuefeng Wei,Thurs ,14:00
41583,ENG 142,Andrew Bechtel,Thurs ,15:30
41587,ENG 142,Seung-Yun Kim,Fri,14:00
41586,ENG 142,Hongxiang Cao,Mon ,15:30
41574,ENG 152,Sanjeeva Murthy,Mon Wed ,19:00
42579,ENG 152,Shahrouz Zamani Khalajabadi,Mon Thurs ,08:00
42580,ENG 152,Shahrouz Zamani Khalajabadi,Mon Thurs ,09:30
41605,ENG 212,Hibbert Duncan,Mon Thurs ,08:00
42758,ENG 214,Wudyalew Wondmagegn,Fri,14:00
41588,ENG 222,Vedrana Krstic,Tues Fri,08:00
41575,ENG 262,Safwan Rached,Mon Thurs ,09:30
41584,ENG 262,Safwan Rached,Mon Thurs ,11:00
41595,ENG 262,Mohamed Mahgoub,Tues Fri,11:00
41576,ENG 272,Ching-Tai Shih,Mon Thurs ,12:30
41577,ENG 312,Larry Pearlstein,Tues Fri,11:00
41603,ENG 312,Ehsan Saeidpour Parizy,Tues Fri,08:00
41590,ENG 312,Larry Pearlstein,Tues Fri,12:30
41604,ENG 312,Ehsan Saeidpour Parizy,Tues Fri,07:30
41578,ENG 342,Christine Delahanty,Tues Thurs ,17:30
41592,ENG 348,Orlando Hernandez,Mon ,08:00
41601,ENG 348,Orlando Hernandez,Thurs ,08:00
41593,ENG 348,Orlando Hernandez,Mon ,07:30
41602,ENG 348,Orlando Hernandez,Thurs ,07:30
41582,ENG 352,Ambrose Adegbege,Mon Thurs ,09:30
41596,ENG 352,Hibbert Duncan,Mon Thurs ,12:30
41579,ENG 354,Ehsan Saeidpour Parizy,Mon ,14:00
41600,ENG 354,Frederick Kelly,Thurs ,14:00
41580,ENG 372,Ching-Tai Shih,Mon Thurs ,08:00
41589,ENG 372,Ching-Tai Shih,Mon Thurs ,09:30
41581,ENG 452,Diana Cano,Mon ,12:30
43200,ENG  96,Martha Stella,Wed ,11:00
41599,ENG  98,Anthony Deese,Fri,12:30
41598,ENG  98,Manish Paliwal,Wed ,17:30
41606,ETE 111,Christopher Better,Thurs ,17:30
41613,ETE 111,Christopher Better,Thurs ,20:30
41607,ETE 131,Steve O'Brien,Mon Thurs ,09:30
41608,ETE 131,Steve O'Brien,Wed ,16:00
41621,ETE 261,Sheryl Roses,Mon ,17:30
41622,ETE 261,Sheryl Roses,Mon ,20:30
41612,ETE 271,Matthew Cathell,Mon Thurs ,11:00
41616,ETE 271,Matthew Cathell,Wed ,10:00
41623,ETE 275,James Mulligan,Wed ,17:30
41624,ETE 275,James Mulligan,Wed ,20:30
41609,ETE 281,Michael Cappiello,Tues ,17:30
41617,ETE 281,Michael Cappiello,Tues ,20:30
41619,ETE 341,Matthew Cathell,Mon Thurs ,14:00
41620,ETE 341,Matthew Cathell,Wed ,16:00
41610,ETE 361,Sheryl Roses,Wed ,17:30
41614,ETE 361,Sheryl Roses,Wed ,20:30
41611,ETE 385,Steve O'Brien,Mon ,15:30
42722,ETE 461,Nicholas Beykirch,Tues ,17:30
42723,ETE 461,Nicholas Beykirch,Tues ,20:30
41615,ETE 492,Nicholas Beykirch,Thurs ,17:30
41625,ETE 492,Nicholas Beykirch,Thurs ,20:30
41618,ETE 495,Manuel Figueroa,Mon Thurs ,12:30
40074,FIN 201,Susan Hume,Mon Thurs ,14:00
40094,FIN 201,Susan Hume,Mon Thurs ,14:00
40096,FIN 201,Susan Hume,Mon Thurs ,15:30
40077,FIN 201,Susan Hume,Mon Thurs ,15:30
40097,FIN 201,Nicola Lasky,Tues Fri,09:30
40101,FIN 201,Catherine Bernard,Tues ,17:30
40210,FIN 201,Catherine Bernard,Mon ,17:30
40092,FIN 310,Clare Bohnett,Tues Fri,08:00
40091,FIN 310,Tae-Nyun Kim,Mon Thurs ,12:30
40084,FIN 310,Tae-Nyun Kim,Mon Thurs ,14:00
40102,FIN 310,Clare Bohnett,Tues Fri,09:30
40099,FIN 310,Patrick Singkamanand,Thurs ,17:30
